,Date,Time,Open,High,Low,Close,Volume
1562,2021.11.09,00:00,1824.51,1832.62,1819.02,1829.83,74138
1563,2021.11.10,00:00,1829.88,1868.46,1822.32,1848.4,81205
1564,2021.11.11,00:00,1848.33,1865.81,1842.79,1862.22,67458
1565,2021.11.12,00:00,1862.04,1868.56,1845.18,1864.17,74506
1566,2021.11.14,00:00,1866.65,1867.75,1865.17,1865.51,1634
1567,2021.11.15,00:00,1865.49,1870.08,1856.18,1862.28,69032
1568,2021.11.16,00:00,1862.16,1877.06,1849.56,1850.26,78555
1569,2021.11.17,00:00,1850.3,1867.86,1849.48,1866.4,72482
1570,2021.11.18,00:00,1866.56,1870.77,1854.94,1859.49,70620
1571,2021.11.19,00:00,1859.48,1865.62,1842.93,1846.02,82098
1572,2021.11.21,00:00,1842.1,1847.06,1841.47,1844.83,2213
1573,2021.11.22,00:00,1844.88,1848.95,1802.19,1808.95,86926
1574,2021.11.23,00:00,1808.93,1812.27,1781.88,1790.84,90584
1575,2021.11.24,00:00,1791.2,1796.35,1778.44,1789.59,78362
1576,2021.11.25,00:00,1789.65,1794.94,1787.79,1792.54,36925
1577,2021.11.26,00:00,1792.46,1815.38,1780.61,1792.72,82953
1578,2021.11.28,00:00,1788.53,1795.54,1776.99,1795.38,2530
1579,2021.11.29,00:00,1794.9,1799.28,1781.22,1786.7,81948
1580,2021.11.30,00:00,1786.6,1808.58,1769.82,1773.15,97333
1581,2021.12.01,00:00,1773.64,1794.5,1772.54,1781.82,90947
1582,2021.12.02,00:00,1781.9,1781.92,1761.82,1769.02,83249
1583,2021.12.03,00:00,1769.03,1786.01,1766.04,1783.32,81302
1584,2021.12.05,00:00,1782.0,1784.06,1780.65,1782.86,1317
1585,2021.12.06,00:00,1782.89,1787.68,1775.66,1780.83,66973
1586,2021.12.07,00:00,1780.74,1787.65,1772.18,1784.7,63607
1587,2021.12.08,00:00,1784.53,1792.98,1779.54,1783.44,68275
1588,2021.12.09,00:00,1783.53,1787.49,1773.21,1776.21,64974
1589,2021.12.10,00:00,1776.2,1789.3,1770.02,1782.75,60328
1590,2021.12.12,00:00,1782.81,1784.36,1782.63,1783.19,1136
1591,2021.12.13,00:00,1783.07,1791.35,1781.69,1785.67,59201
1592,2021.12.14,00:00,1785.54,1789.37,1766.35,1772.37,62987
1593,2021.12.15,00:00,1772.43,1781.39,1753.19,1779.4,74061
1594,2021.12.16,00:00,1779.5,1799.55,1775.48,1798.68,72648
1595,2021.12.17,00:00,1798.84,1814.11,1795.7,1798.0,67991
1596,2021.12.19,00:00,1800.31,1801.62,1799.28,1800.01,1496
1597,2021.12.20,00:00,1800.17,1804.05,1788.2,1791.5,65844
1598,2021.12.21,00:00,1791.25,1800.3,1784.82,1790.39,62342
